# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
#
# Results of Query: Database UKIDSSDR8PLUS 12/01/15 19:26
# SELECT  sourceID, framesetID, RA, Dec, mergedClass, priOrSec, 
# JAperMag3, JAperMag3Err, HAperMag3, HAperMag3Err, K_1AperMag3, 
# K_1AperMag3Err, K_2AperMag3, K_2AperMag3Err, H2AperMag3, 
# H2AperMag3Err, pstar, epoch,
# 2*DEGREES(ASIN(sqrt(power(0.22206278975386445-cx,
# 2)+power(-0.9743835349298852-cy,2)+power(-0.035564649081248456-cz,
# 2))/2))*60 as distance  FROM gpsSource WHERE dec > -2.054800766666667 
# and dec < -2.0214674333333336 and RA >= 282.8218026096076 and RA <= 
# 282.85515739039243 and ((cx * 0.22206278975386445 + cy * 
# -0.9743835349298852 + cz * -0.035564649081248456 ) >= 
# 0.9999999576920253)  and (pStar > 0.99) and (priOrSec=0 OR 
# priOrSec=frameSetID) and HAperMag3 >0 and JAperMag3 > 0 and 
# K_1AperMag3 > 0
# Column Headers at start of file AND below
#
# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
        438267690211,        438086674173,    +282.8464975,      -2.0519234,    -1,                   0,    +17.682020,     +0.030645,    +16.701101,     +0.026364,    +16.120642,     +0.039732, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9568870
        438267689644,        438086674173,    +282.8483957,      -2.0513927,    -1,                   0,    +15.417413,     +0.005319,    +13.862899,     +0.002531,    +13.118929,     +0.002976, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9931556
        438267689540,        438086674173,    +282.8486301,      -2.0492871,    -1,                   0,    +18.781502,     +0.080623,    +17.343374,     +0.046990,    +16.940659,     +0.083905, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.992684,   +2005.4566113,      +0.9045536
        438267689515,        438086674173,    +282.8487536,      -2.0505765,    -1,                   0,    +18.744537,     +0.078008,    +17.572582,     +0.057866,    +17.367401,     +0.124057, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9678906
        438267688876,        438086674173,    +282.8514295,      -2.0420169,    -1,                   0,    +18.183410,     +0.047322,    +17.112100,     +0.038017,    +16.415356,     +0.051876, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8106742
        438267688869,        438086674173,    +282.8514068,      -2.0368332,    -1,                   0,    +19.292112,     +0.127832,    +17.662153,     +0.062704,    +17.147684,     +0.101320, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7790392
        438267688783,        438086674173,    +282.8523964,      -2.0442142,    -1,                   0,    +16.123816,     +0.008722,    +15.373221,     +0.008247,    +14.936724,     +0.013700, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9107094
        438267690733,        438086674173,    +282.8464937,      -2.0503873,    -1,                   0,    +15.438908,     +0.005395,    +14.122351,     +0.003056,    +13.496171,     +0.004014, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8782979
        438267690652,        438086674173,    +282.8440303,      -2.0367914,    -1,                   0,    +16.929684,     +0.016332,    +15.577483,     +0.009833,    +14.899373,     +0.013248, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.3424202
        438267694510,        438086674173,    +282.8279045,      -2.0270567,    -1,                   0,    +18.917112,     +0.090744,    +17.647474,     +0.061849,    +16.945362,     +0.083848, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.992684,   +2005.4566113,      +0.9186218
        438267694524,        438086674173,    +282.8274685,      -2.0337962,    -1,                   0,    +20.521652,     +0.390578,    +18.637712,     +0.152968,    +18.680538,     +0.412684, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7097226
        438267694556,        438086674173,    +282.8273737,      -2.0293411,    -1,                   0,    +18.808334,     +0.082316,    +17.477993,     +0.053040,    +16.772880,     +0.071628, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.998679,   +2005.4566113,      +0.8496153
        438267690670,        438086674173,    +282.8496807,      -2.0358847,    -1,                   0,    +17.805874,     +0.034104,    +16.572659,     +0.023468,    +16.089802,     +0.038573, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.6850469
        438267694982,        438086674173,    +282.8253013,      -2.0362558,    -1,                   0,    +18.909925,     +0.090228,    +17.635921,     +0.061299,    +16.901295,     +0.080609, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7982185
        438267695184,        438086674173,    +282.8243099,      -2.0376834,    -1,                   0,    +19.994066,     +0.241174,    +18.689550,     +0.160570,    +18.070076,     +0.235461, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8500994
        438267691555,        438086674173,    +282.8399344,      -2.0325737,    -1,                   0,    +18.567533,     +0.066546,    +16.706308,     +0.026445,    +15.897327,     +0.032358, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.3448342
        438267691727,        438086674173,    +282.8395342,      -2.0457479,    -1,                   0,    +14.989928,     +0.004046,    +13.251243,     +0.001673,    +12.407919,     +0.001756, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.4611783
        438267691955,        438086674173,    +282.8387054,      -2.0538006,    -1,                   0,    +14.948665,     +0.003947,    +13.522305,     +0.002007,    +12.810441,     +0.002357, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9400855
