# sourceID,cuEventID,frameSetID,ra,dec,cx,cy,cz,htmID,l,b,lambda,eta,priOrSec,mergedClassStat,mergedClass,pStar,pGalaxy,pNoise,pSaturated,h2HallMag,h2HallMagErr,h2PetroMag,h2PetroMagErr,h2PsfMag,h2PsfMagErr,h2SerMag2D,h2SerMag2DErr,h2AperMag3,h2AperMag3Err,h2AperMag4,h2AperMag4Err,h2AperMag6,h2AperMag6Err,h2Gausig,h2Ell,h2PA,h2ErrBits,h2Deblend,h2Class,h2ClassStat,h2ppErrBits,h2SeqNum,h2Xi,h2Eta,distance
#
# Results of Query: Database U09B8v20120403 12/01/15 19:26
# SELECT  u09b8Source.*,
# 2*DEGREES(ASIN(sqrt(power(0.22206278975386445-cx,
# 2)+power(-0.9743835349298852-cy,2)+power(-0.035564649081248456-cz,
# 2))/2))*60 as distance  FROM u09b8Source WHERE dec > 
# -2.054800766666667 and dec < -2.0214674333333336 and RA >= 
# 282.8218026096076 and RA <= 282.85515739039243 and ((cx * 
# 0.22206278975386445 + cy * -0.9743835349298852 + cz * 
# -0.035564649081248456 ) >= 0.9999999576920253)  and (pStar > 0.99) 
# and (priOrSec=0 OR priOrSec=frameSetID)
# Column Headers at start of file AND below
#
# sourceID,cuEventID,frameSetID,ra,dec,cx,cy,cz,htmID,l,b,lambda,eta,priOrSec,mergedClassStat,mergedClass,pStar,pGalaxy,pNoise,pSaturated,h2HallMag,h2HallMagErr,h2PetroMag,h2PetroMagErr,h2PsfMag,h2PsfMagErr,h2SerMag2D,h2SerMag2DErr,h2AperMag3,h2AperMag3Err,h2AperMag4,h2AperMag4Err,h2AperMag6,h2AperMag6Err,h2Gausig,h2Ell,h2PA,h2ErrBits,h2Deblend,h2Class,h2ClassStat,h2ppErrBits,h2SeqNum,h2Xi,h2Eta,distance
      43864583577116,      33321,      43864500996256,    +282.8423106,      -2.0321297,      +0.2221288,      -0.9743723,      -0.0354599,      12137327745219,     +31.1153676,      -0.9111905,     +81.9002739,    +162.0765648,                   0,     -2.101225,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.516110,     +0.321131,    +17.522766,     +0.323104, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.793972,     +0.080769,    +17.411161,     +0.182136,    +15.497252,     +0.059723,     +1.006028,     +0.205025,   +147.472730,          0,          0,    -1,     -1.485790,         16,      22174, +0.000000E000, +0.000000E000,      +0.4272560
      43864583576981,      33321,      43864500996256,    +282.8422194,      -2.0302042,      +0.2221275,      -0.9743738,      -0.0354263,      12137327746091,     +31.1170402,      -0.9102318,     +81.9008420,    +162.0634905,                   0,     -2.911936,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +16.913223,     +0.152100,    +17.169086,     +0.225291, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.482430,     +0.060730,    +16.555030,     +0.082960,    +17.796307,     +0.494319,     +2.465966,     +0.212329,   +133.694440,          0,          0,    -1,     -2.059050,          0,      22039, +0.000000E000, +0.000000E000,      +0.5259822
      43864583576684,      33321,      43864500996256,    +282.8465817,      -2.0239814,      +0.2222025,      -0.9743607,      -0.0353178,      12137327699579,     +31.1245670,      -0.9112762,     +81.8981668,    +162.0130227,                   0,     -4.336487,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.795206,     +0.456688,    +17.652327,     +0.315458, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +15.913187,     +0.036083,    +15.918463,     +0.046198, -9.999995E008, -9.999995E008,     +1.279219,     +0.204902,   +162.698290,          0,          0,    -1,     -3.066360,         16,      21742, +0.000000E000, +0.000000E000,      +0.9783013
      43864583576787,      33321,      43864500996256,    +282.8459028,      -2.0358266,      +0.2221893,      -0.9743562,      -0.0355244,      12137327723864,     +31.1137129,      -0.9160709,     +81.8958751,    +162.0956120,                   0,     +0.253659,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +16.326893,     +0.132147,    +15.087880,     +0.037872, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +14.662925,     +0.011862,    +14.688433,     +0.015228, -9.999995E008, -9.999995E008,     +2.043126,     +0.174356,   +125.772840,          0,          0,    -1,     +0.179364,         16,      21845, +0.000000E000, +0.000000E000,      +0.4661237
      43864583576648,      33321,      43864500996256,    +282.8438656,      -2.0230825,      +0.2221564,      -0.9743717,      -0.0353021,      12137327705305,     +31.1241299,      -0.9084504,     +81.9010194,    +162.0116251,                   0,     -4.238014,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.859547,     +0.342230,    +18.006496,     +0.435676, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.224703,     +0.119455,    +17.419548,     +0.183020,    +19.075250,     +1.601549,     +1.904097,     +0.116481,   +162.800130,          0,          0,    -1,     -2.996729,          0,      21706, +0.000000E000, +0.000000E000,      +0.9590963
      43864583576517,      33321,      43864500996256,    +282.8444552,      -2.0301732,      +0.2221655,      -0.9743652,      -0.0354258,      12137327743543,     +31.1180862,      -0.9122065,     +81.8986857,    +162.0593282,                   0,     -4.573122,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +18.596918,     +0.518855,    +18.596918,     +0.518855, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.782251,     +0.199875,    +18.277061,     +0.404003, -9.999995E008, -9.999995E008,     +1.338146,     +0.254818,     +8.930900,          0,          0,    -1,     -3.233686,          0,      21575, +0.000000E000, +0.000000E000,      +0.5970930
      43864583576496,      33321,      43864500996256,    +282.8446202,      -2.0330601,      +0.2221679,      -0.9743628,      -0.0354761,      12137327729674,     +31.1155915,      -0.9136691,     +81.8978066,    +162.0788746,                   0,     -3.109003,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.984613,     +0.409122,    +17.880833,     +0.419799, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.375313,     +0.137521,    +17.738148,     +0.245976,    +17.832983,     +0.511665,     +1.741004,     +0.040011,    +55.138687,          0,          0,    -1,     -2.198397,          0,      21554, +0.000000E000, +0.000000E000,      +0.4777465
      43864583576470,      33321,      43864500996256,    +282.8447417,      -2.0426805,      +0.2221686,      -0.9743565,      -0.0356439,      12137546417809,     +31.1070825,      -0.9181617,     +81.8952848,    +162.1447428,                   0,     -1.592840,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.569971,     +0.251521,    +17.622648,     +0.308931, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.394344,     +0.139856,    +17.438232,     +0.186598,    +17.357893,     +0.330205,     +1.749228,     +0.220338,   +129.300480,          0,          0,    -1,     -1.126308,          0,      21528, +0.000000E000, +0.000000E000,      +0.4640943
      43864583575329,      33321,      43864500996256,    +282.8540012,      -2.0365104,      +0.2223270,      -0.9743243,      -0.0355363,      12137546545927,     +31.1167933,      -0.9235863,     +81.8878673,    +162.0859866,                   0,     +2.627247,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +10.705345,     +0.001125,     +9.113039,     +0.000348, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +9.761363,     +0.000411,     +9.747984,     +0.000403,     +9.528398,     +0.000408,     +4.196695,     +0.123930,   +142.049510,          0,          0,    -1,     +1.857744,      65552,      20387, +0.000000E000, +0.000000E000,      +0.9357662
      43864583575409,      33321,      43864500996256,    +282.8500978,      -2.0306866,      +0.2222614,      -0.9743430,      -0.0354347,      12137327607307,     +31.1201996,      -0.9174599,     +81.8930964,    +162.0528960,                   0,     -4.886740,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +19.147099,     +0.936378,    +19.668392,     +1.574930, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.846228,     +0.211629,    +18.344265,     +0.429082, -9.999995E008, -9.999995E008,     +1.430256,     +0.298931,   +171.470290,          0,          0,    -1,     -3.455447,          0,      20467, +0.000000E000, +0.000000E000,      +0.8276261
      43864583575477,      33321,      43864500996256,    +282.8496966,      -2.0345922,      +0.2222540,      -0.9743422,      -0.0355029,      12137327594673,     +31.1165400,      -0.9188830,     +81.8925116,    +162.0804254,                   0,     -5.315488,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +18.825380,     +0.724272,    +18.825380,     +0.724272, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +18.128159,     +0.274020,    +19.975212,     +1.924406, -9.999995E008, -9.999995E008,     +1.276602,     +0.348520,   +146.113560,          0,          0,    -1,     -3.758617,          0,      20535, +0.000000E000, +0.000000E000,      +0.7053470
      43864583575586,      33321,      43864500996256,    +282.8491220,      -2.0333466,      +0.2222444,      -0.9743452,      -0.0354811,      12137327605149,     +31.1173871,      -0.9178042,     +81.8933783,    +162.0728869,                   0,     -1.873611,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +16.713657,     +0.135563,    +16.881481,     +0.198566, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.327140,     +0.052670,    +16.359087,     +0.069269,    +16.847038,     +0.206142,     +2.681344,     +0.370905,   +122.232220,          0,          0,    -1,     -1.324843,          0,      20644, +0.000000E000, +0.000000E000,      +0.6997898
      43864583576719,      33321,      43864500996256,    +282.8433542,      -2.0435605,      +0.2221449,      -0.9743614,      -0.0356593,      12137546417333,     +31.1056672,      -0.9173286,     +81.8964067,    +162.1532500,                   0,     -1.705768,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +19.414425,     +1.150050,    +19.353943,     +1.114548, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +17.841572,     +0.211280,    +19.222067,     +0.965062,    +17.716564,     +0.460380,     +1.295166,     +0.267772,   +150.146680,          0,          0,    -1,     -1.206160,          0,      21777, +0.000000E000, +0.000000E000,      +0.4375223
      43864583576803,      33321,      43864500996256,    +282.8478830,      -2.0394241,      +0.2222225,      -0.9743463,      -0.0355872,      12137546596595,     +31.1114124,      -0.9194719,     +81.8930602,    +162.1168118,                   0,     +3.671602,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.861137,     +0.615706,    +16.622124,     +0.158202, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +14.904129,     +0.014677,    +15.842371,     +0.043297,    +12.264728,     +0.003245,     +1.261157,     +0.221606,   +104.945724,          0,          0,    -1,     +2.596215,         16,      21861, +0.000000E000, +0.000000E000,      +0.5691089
      43864583576749,      33321,      43864500996256,    +282.8438686,      -2.0490715,      +0.2221529,      -0.9743560,      -0.0357554,      12137546427258,     +31.1009955,      -0.9202978,     +81.8945264,    +162.1901752,                   0,     +0.520588,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +11.148760,     +0.001076,    +11.138757,     +0.001196, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +11.383806,     +0.000996,    +11.378304,     +0.001057,    +11.316010,     +0.001473,     +3.250526,     +0.126415,   +130.308520,          0,          0,    -1,     +0.368112,         16,      21807, +0.000000E000, +0.000000E000,      +0.7314737
      43864583576786,      33321,      43864500996256,    +282.8449789,      -2.0416314,      +0.2221728,      -0.9743562,      -0.0356256,      12137327510030,     +31.1081246,      -0.9178946,     +81.8953181,    +162.1371171,                   0,     -1.860200,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +19.060465,     +1.332221,    +17.821453,     +0.425740, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.400576,     +0.056374,    +16.147552,     +0.057147,    +16.198578,     +0.113668,     +1.280152,     +0.067767,   +154.896820,          0,          0,    -1,     -1.315360,         16,      21844, +0.000000E000, +0.000000E000,      +0.4425889
      43864583576681,      33321,      43864500996256,    +282.8448096,      -2.0233384,      +0.2221725,      -0.9743679,      -0.0353066,      12137327704041,     +31.1243321,      -0.9094067,     +81.9000420,    +162.0117224,                   0,     -2.555544,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +20.567368,     +2.784679,    +20.424486,     +2.441369, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.806553,     +0.081401,    +16.351997,     +0.068683, -9.999995E008, -9.999995E008,     +0.780409,     +0.242314,    +54.919210,          0,          0,    -1,     -1.807043,         16,      21739, +0.000000E000, +0.000000E000,      +0.9654700
      43864583576567,      33321,      43864500996256,    +282.8441738,      -2.0443676,      +0.2221588,      -0.9743577,      -0.0356734,      12137546417559,     +31.1053220,      -0.9184255,     +81.8954115,    +162.1573361,                   0,     -4.580615,    -1,     +0.993865,     +0.003067,     +0.003067, +0.000000E000,    +17.748116,     +0.331155,    +17.713743,     +0.332697, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +16.900272,     +0.088962,    +17.338530,     +0.170280,    +18.559470,     +0.998293,     +2.045911,     +0.191159,   +126.640430,          0,          0,    -1,     -3.238984,          0,      21625, +0.000000E000, +0.000000E000,      +0.5064049
